#,"Date Time, GMT-05:00",DO_concentration,"Temp, °C (LGR S/N: 20880670, SEN S/N: 20880670)","DO Adj Conc, mg/L (LGR S/N: 20880670)","DO Percent Sat, % (LGR S/N: 20880670)","Abs Pres, kPa (LGR S/N: 21132118, SEN S/N: 21132118)"
602,2/15/2022 22:15,,,,,103.724
603,2/15/2022 22:30,,,,,103.753
604,2/15/2022 22:45,,,,,103.746
605,2/15/2022 23:00,,,,,103.763
606,2/15/2022 23:15,,,,,103.735
607,2/15/2022 23:30,,,,,103.724
608,2/15/2022 23:45,,,,,103.72
609,2/16/2022 0:00,,,,,103.704
610,2/16/2022 0:15,,,,,103.696
611,2/16/2022 0:30,,,,,103.692
612,2/16/2022 0:45,,,,,103.689
613,2/16/2022 1:00,,,,,103.664
614,2/16/2022 1:15,,,,,103.678
615,2/16/2022 1:30,,,,,103.681
616,2/16/2022 1:45,,,,,103.655
617,2/16/2022 2:00,,,,,103.657
618,2/16/2022 2:15,,,,,103.626
619,2/16/2022 2:30,,,,,103.637
620,2/16/2022 2:45,,,,,103.638
621,2/16/2022 3:00,,,,,103.607
622,2/16/2022 3:15,,,,,103.585
623,2/16/2022 3:30,,,,,103.574
624,2/16/2022 3:45,,,,,103.575
625,2/16/2022 4:00,,,,,103.586
626,2/16/2022 4:15,,,,,103.575
627,2/16/2022 4:30,,,,,103.585
628,2/16/2022 4:45,,,,,103.587
629,2/16/2022 5:00,,,,,103.574
630,2/16/2022 5:15,,,,,103.619
631,2/16/2022 5:30,,,,,103.62
632,2/16/2022 5:45,,,,,103.621
